cotacaoCompra,dataHoraCotacao
3.1437,2017-08-21 13:11:54.232
3.1533,2017-08-22 13:07:59.02
3.1563,2017-08-23 13:05:00.387
3.1398,2017-08-24 13:05:56.945
3.1456,2017-08-25 13:03:19.052
3.1557,2017-08-28 13:05:53.434
3.1689,2017-08-29 13:06:00.742
3.1632,2017-08-30 13:05:59.376
3.1465,2017-08-31 13:11:19.431
3.1327,2017-09-01 13:09:49.668
3.1383,2017-09-04 13:07:00.053
3.1197,2017-09-05 13:08:03.538
3.1127,2017-09-06 13:04:56.84
3.0902,2017-09-08 13:09:47.865
3.0846,2017-09-11 13:11:51.904
3.1138,2017-09-12 13:10:52.973
3.1337,2017-09-13 13:11:12.8
3.1348,2017-09-14 13:07:09.055
3.1249,2017-09-15 13:09:01.968
3.1233,2017-09-18 13:13:53.088
3.1317,2017-09-19 13:02:44.498
3.1275,2017-09-20 13:07:58.419
3.1341,2017-09-21 13:04:20.434
3.1279,2017-09-22 13:04:39.003
3.1406,2017-09-25 13:08:41.647
3.1668,2017-09-26 13:11:49.126
3.1926,2017-09-27 13:03:56.33
3.1865,2017-09-28 13:07:41.741
3.1674,2017-09-29 13:10:53.153
3.1636,2017-10-02 13:11:53.361
3.1496,2017-10-03 13:06:01.897
3.1309,2017-10-04 13:07:04.54
3.1341,2017-10-05 13:09:02.854
3.1642,2017-10-06 13:12:13.52
3.1764,2017-10-09 13:03:37.033
3.1682,2017-10-10 13:05:50.117
3.1633,2017-10-11 13:06:55.368
3.1567,2017-10-13 13:09:01.026
3.1601,2017-10-16 13:06:50.682
3.1763,2017-10-17 13:08:24.663
3.1667,2017-10-18 13:05:11.771
3.1727,2017-10-19 13:03:16.171
3.1827,2017-10-20 13:06:16.866
3.1997,2017-10-23 13:08:10.632
3.2464,2017-10-24 13:07:51.559
3.2381,2017-10-25 13:09:31.655
3.2438,2017-10-26 13:07:04.203
3.2795,2017-10-27 13:06:46.999
3.2541,2017-10-30 13:03:56.356
3.2763,2017-10-31 13:08:47.548
3.273,2017-11-01 13:06:41.585
3.2914,2017-11-03 13:04:54.329
3.2845,2017-11-06 13:08:39.786
3.2727,2017-11-07 13:08:59.981
3.2503,2017-11-08 13:08:59.653
3.2509,2017-11-09 13:11:59.216
3.2655,2017-11-10 13:11:04.472
3.2867,2017-11-13 13:03:15.661
3.2828,2017-11-14 13:11:59.21
3.2802,2017-11-16 13:10:20.167
3.2782,2017-11-17 13:08:26.316
3.2608,2017-11-20 13:10:09.274
3.2585,2017-11-21 13:08:00.441
3.2555,2017-11-22 13:06:53.031
3.2365,2017-11-23 13:02:53.754
3.2294,2017-11-24 13:05:52.166
3.2212,2017-11-27 13:04:59.406
3.2226,2017-11-28 13:04:52.08
3.213,2017-11-29 13:10:29.895
3.261,2017-11-30 13:08:58.944
3.263,2017-12-01 13:05:49.223
3.25,2017-12-04 13:12:10.896
3.2316,2017-12-05 13:06:35.907
3.2348,2017-12-06 13:03:50.288
3.2886,2017-12-07 13:11:10.197
3.2805,2017-12-08 13:09:46.379
3.2839,2017-12-11 13:10:44.9
3.3143,2017-12-12 13:09:28.057
3.303,2017-12-13 13:08:38.426
3.3326,2017-12-14 13:04:47.054
3.3176,2017-12-15 13:10:18.082
3.2875,2017-12-18 13:03:09.523
3.2877,2017-12-19 13:08:27.894
3.2903,2017-12-20 13:11:21.95
3.3039,2017-12-21 13:08:38.591
3.3203,2017-12-22 13:06:49.404
3.3194,2017-12-26 13:12:11.584
3.3024,2017-12-27 13:06:02.143
3.3074,2017-12-28 13:04:53.036
3.3074,2017-12-29 13:02:45.613
3.2691,2018-01-02 13:12:55.196
3.2529,2018-01-03 13:04:12.517
3.2312,2018-01-04 13:11:55.76
3.2403,2018-01-05 13:09:00.243
3.2351,2018-01-08 13:10:47.767
3.2391,2018-01-09 13:06:14.647
3.2461,2018-01-10 13:06:20.141
3.2295,2018-01-11 13:07:39.24
3.2192,2018-01-12 13:11:51.469
3.1957,2018-01-15 13:03:51.89
3.2213,2018-01-16 13:10:53.99
3.2318,2018-01-17 13:07:57.458
3.2123,2018-01-18 13:03:33.47
3.2081,2018-01-19 13:10:53.197
3.1928,2018-01-22 13:03:42.347
3.2243,2018-01-23 13:04:48.112
3.1964,2018-01-24 13:10:27.352
3.138,2018-01-25 13:03:52.095
3.1444,2018-01-26 13:08:49.461
3.1648,2018-01-29 13:06:08.553
3.1655,2018-01-30 13:03:46.59
3.1618,2018-01-31 13:16:53.521
3.1724,2018-02-01 13:09:59.863
3.2054,2018-02-02 13:06:35.781
3.2349,2018-02-05 13:06:11.649
3.2607,2018-02-06 13:09:27.952
3.2461,2018-02-07 13:11:42.108
3.2686,2018-02-08 13:10:49.731
3.2815,2018-02-09 13:07:05.319
3.2531,2018-02-14 15:38:08.622
3.2202,2018-02-15 13:09:36.912
3.2375,2018-02-16 13:04:08.586
3.2341,2018-02-19 13:02:49.018
3.2501,2018-02-20 13:05:22.267
3.2549,2018-02-21 13:05:52.088
3.2592,2018-02-22 13:11:24.12
